epoch,experiment,param_count,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
45,repvit_m1.dist_in1k,5.49,0.8317757248878479,0.8917984366416931,0.37296262383461,0.8308998942375183,0.967274010181427,0.7222222089767456,0.8024691939353943,0.436218112707138,0.7248677015304565,0.93028324842453
49,repvit_m1_1.dist_450e_in1k,8.8,0.827102780342102,0.8909934163093567,0.3696556389331817,0.8235114812850952,0.9748085737228394,0.7592592835426331,0.8289092779159546,0.4387590289115906,0.7585734128952026,0.9466230869293212
49,repvit_m0_9.dist_300e_in1k,5.49,0.8037382960319519,0.8764668107032776,0.3949711918830871,0.8168255686759949,0.9499538540840148,0.7592592835426331,0.8360913395881653,0.441542237997055,0.7432098388671875,1.0
11,convnextv2_nano.fcmae_ft_in1k,15.62,0.7990654110908508,0.8627640008926392,0.4421218931674957,0.8503226041793823,0.884646475315094,0.7222222089767456,0.8176858425140381,0.4438297748565674,0.7323775291442871,0.9814814925193788
49,convnext_pico_ols.d1_in1k,9.06,0.7476635575294495,0.8514832854270935,0.4704456627368927,0.7467030882835388,0.9928794503211976,0.7407407164573669,0.8271604180335999,0.4455325901508331,0.7323775291442871,1.0
48,repvit_m3.dist_in1k,10.68,0.7943925261497498,0.8673233389854431,0.416596919298172,0.799822986125946,0.9584967494010924,0.7407407164573669,0.8271604180335999,0.4474453330039978,0.7323775291442871,1.0
27,convnext_nano_ols.d1h_in1k,15.65,0.8084112405776978,0.8815426230430603,0.4211239814758301,0.8020955920219421,0.9806666374206544,0.7407407164573669,0.8196457624435425,0.4477567970752716,0.734355092048645,0.9651415944099426
14,convnext_nano.d1h_in1k,15.59,0.7476635575294495,0.8517673015594482,0.4359632134437561,0.7463822364807129,0.9935747385025024,0.7222222089767456,0.8185940980911255,0.4504666030406952,0.7222222089767456,1.0
44,mobilevitv2_175.cvnets_in1k,14.25,0.84579438,0.891299725,0.477567762,0.91095072,0.874121606,0.796296299,0.841011763,0.451451421,0.777777791,0.930283248
44,repvit_m1_1.dist_300e_in1k,8.8,0.7990654110908508,0.8770138621330261,0.4251604080200195,0.7957088351249695,0.9807666540145874,0.7407407164573669,0.8196457624435425,0.4540340006351471,0.734355092048645,0.9651415944099426
27,convnextv2_femto.fcmae_ft_in1k,5.23,0.7523364424705505,0.853419303894043,0.4803973734378814,0.7491458654403687,0.9934986233711244,0.7592592835426331,0.8360913395881653,0.4613213837146759,0.7432098388671875,1.0
31,convnext_tiny.fb_in1k,28.59,0.7710280418395996,0.8619363307952881,0.466836154460907,0.7678295969963074,0.9886782765388488,0.7222222089767456,0.8185940980911255,0.4633841216564178,0.7222222089767456,1.0
44,mobileone_s1.apple_in1k,4.83,0.81775701,0.884498596,0.413677603,0.821251273,0.962244749,0.740740716,0.819332004,0.464156002,0.746031702,0.946623087
42,densenet121.tv_in1k,7.98,0.742990673,0.84709388,0.45636484,0.746724665,0.988837957,0.759259284,0.828806579,0.465148658,0.746031702,0.965141594
27,densenet201.tv_in1k,20.01,0.780373812,0.86733526,0.43919003,0.7771222,0.994461775,0.722222209,0.818594098,0.466136128,0.722222209,1.0
41,convnext_large.fb_in1k,197.77,0.7429906725883484,0.8493304252624512,0.4763258695602417,0.74042809009552,1.0,0.7222222089767456,0.8185940980911255,0.4704706370830536,0.7222222089767456,1.0
31,mobilevitv2_175.cvnets_in22k_ft_in1k,14.25,0.855140209,0.895167172,0.392876178,0.964931011,0.838621736,0.759259284,0.813458204,0.471763581,0.784511805,0.858387828
30,repvit_m1_0.dist_300e_in1k,7.3,0.7663551568984985,0.8599036335945129,0.4412096738815307,0.7675293684005737,0.9887503981590272,0.7222222089767456,0.8185940980911255,0.4842200577259063,0.7222222089767456,1.0
36,repvit_m2_3.dist_450e_in1k,23.69,0.7383177280426025,0.8438150882720947,0.4959689974784851,0.7501987218856812,0.9688473343849182,0.7222222089767456,0.8185940980911255,0.4858222603797912,0.7222222089767456,1.0
39,densenetblur121d.ra_in1k,8.0,0.789719641,0.870169282,0.415550351,0.792174518,0.970614254,0.796296299,0.855144083,0.487675488,0.767195821,1.0
49,convnext_base.fb_in1k,88.59,0.7289719581604004,0.8394298553466797,0.5237794518470764,0.7322882413864136,0.9934986233711244,0.7407407164573669,0.8271604180335999,0.4884349703788757,0.7323775291442871,1.0
25,convnextv2_atto.fcmae_ft_in1k,3.71,0.7429906725883484,0.8445774912834167,0.4809146821498871,0.7425456047058105,0.9925233125686646,0.7222222089767456,0.8185940980911255,0.4898270964622497,0.7222222089767456,1.0
6,convnextv2_nano.fcmae_ft_in22k_in1k,15.62,0.7710280418395996,0.8562458753585815,0.4738631546497345,0.8011623620986938,0.9282746911048888,0.7592592835426331,0.8360913395881653,0.4929314851760864,0.7432098388671875,1.0
6,convnextv2_base.fcmae_ft_in22k_in1k,88.72,0.747663558,0.84929359,0.496372879,0.743292093,1.0,0.722222209,0.818594098,0.495237857,0.722222209,1.0
19,mobilevitv2_200.cvnets_in1k,18.45,0.813084126,0.864212394,0.513796866,0.90810585,0.836271465,0.722222209,0.800270975,0.496830553,0.777777791,0.856209159
6,convnext_tiny.in12k_ft_in1k,28.59,0.7897196412086487,0.8737516403198242,0.4720969498157501,0.7781184315681458,1.0,0.7222222089767456,0.8185940980911255,0.503602147102356,0.7222222089767456,1.0
37,convnextv2_pico.fcmae_ft_in1k,9.07,0.8457943797111511,0.901235044002533,0.3768060505390167,0.8359821438789368,0.981700599193573,0.7592592835426331,0.8359360694885254,0.5040764808654785,0.7547892928123474,0.9814814925193788
6,convnext_small.fb_in22k_ft_in1k,50.22,0.7570093274116516,0.848831832408905,0.503796398639679,0.785505473613739,0.9383198618888856,0.7222222089767456,0.8185940980911255,0.5056136250495911,0.7222222089767456,1.0
16,convnext_small.in12k_ft_in1k,50.22,0.7897196412086487,0.8666160106658936,0.4466728270053863,0.7832400798797607,0.9798519015312196,0.7407407164573669,0.8271604180335999,0.508123517036438,0.7323775291442871,1.0
44,repvit_m1_5.dist_450e_in1k,14.64,0.8037382960319519,0.8783587217330933,0.4134309291839599,0.797633945941925,0.9814704656600952,0.7592592835426331,0.8360913395881653,0.5207087397575378,0.7432098388671875,1.0
20,convnext_small.fb_in1k,50.22,0.7663551568984985,0.8591176867485046,0.4634985625743866,0.7654964923858643,0.9875389337539672,0.7222222089767456,0.8185940980911255,0.5214314460754395,0.7222222089767456,1.0
26,convnext_atto.d2_in1k,3.7,0.7757009267807007,0.8633658289909363,0.4547786116600036,0.7716104388237,0.9940186738967896,0.7222222089767456,0.8185940980911255,0.5246540904045105,0.7222222089767456,1.0
47,convnext_atto_ols.a2_in1k,3.7,0.7336448431015015,0.8431265354156494,0.5440691113471985,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5253063440322876,0.7222222089767456,1.0
38,repvit_m1_0.dist_450e_in1k,7.3,0.7616822719573975,0.8571270108222961,0.4650566577911377,0.762408435344696,0.9804143905639648,0.7407407164573669,0.8271604180335999,0.5271652936935425,0.7323775291442871,1.0
14,convnext_femto.d1_in1k,5.22,0.7336448431015015,0.8449627161026001,0.536628782749176,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5344563722610474,0.7222222089767456,1.0
24,densenet161.tv_in1k,28.68,0.789719641,0.869634032,0.452070504,0.789495468,0.977676034,0.722222209,0.818594098,0.537859797,0.722222209,1.0
11,convnextv2_large.fcmae_ft_in1k,197.96,0.7336448431015015,0.8445174098014832,0.5331991910934448,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5408065319061279,0.7222222089767456,1.0
3,convnext_large.fb_in22k_ft_in1k,197.77,0.733644843,0.843055844,0.543126404,0.733644843,1.0,0.722222209,0.818594098,0.541768312,0.722222209,1.0
6,densenet121.ra_in1k,7.98,0.733644843,0.845832348,0.522256494,0.733644843,1.0,0.722222209,0.818594098,0.547972381,0.722222209,1.0
7,convnextv2_base.fcmae_ft_in1k,88.72,0.7336448431015015,0.8441885113716125,0.5422723889350891,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5505385994911194,0.7222222089767456,1.0
36,mobilevitv2_100.cvnets_in1k,4.9,0.878504694,0.913130224,0.522796214,0.972034633,0.863732696,0.703703701,0.802469194,0.559531927,0.713261664,0.965141594
41,mobilevitv2_150.cvnets_in1k,10.59,0.855140209,0.895881176,0.491929233,0.93513006,0.864138186,0.740740716,0.811111093,0.572565734,0.79388088,0.856209159
47,mobilevitv2_075.cvnets_in1k,2.87,0.794392526,0.860512257,0.576845586,0.856150329,0.877231658,0.462962955,0.616432488,0.579607785,0.732377529,0.722222209
46,mobilevitv2_125.cvnets_in1k,7.48,0.81775701,0.870723665,0.522820234,0.894059062,0.862920225,0.759259284,0.81388557,0.581915915,0.957672,0.712418318
5,convnext_femto_ols.d1_in1k,5.23,0.7336448431015015,0.8428434133529663,0.5619909167289734,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5864957571029663,0.7222222089767456,1.0
4,convnextv2_tiny.fcmae_ft_in1k,28.64,0.7336448431015015,0.8444563746452332,0.5484560132026672,0.7336448431015015,1.0,0.7222222089767456,0.8185940980911255,0.5885912775993347,0.7222222089767456,1.0
2,repvit_m2_3.dist_300e_in1k,23.69,0.677570104598999,0.7958478927612305,0.643338143825531,0.7413835525512695,0.8598201870918274,0.7222222089767456,0.8185940980911255,0.5957375764846802,0.7222222089767456,1.0
41,mobilevitv2_050.cvnets_in1k,1.37,0.859813094,0.90221554,0.578050435,0.912974894,0.893101037,0.740740716,0.811201453,0.618831396,0.777777791,0.874727666
